pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
6ir1	B	NA	0	A	protein	NA	mcherry fluorescent protein	FLUORESCENT PROTEIN	11/09/18	Crystal structure of red fluorescent protein mCherry complexed with the nanobody LaM4 at 1.9 Angstron resolution	ANAPLASMA MARGINALE; CAMELUS BACTRIANUS	camelus bactrianus		anaplasma marginale	Ding, Y., Wang, Z.Y., Hu, R.T., Chen, X.	1.919	X-RAY DIFFRACTION	0.232	0.180	False	True	IGHV1	NA	NA	None	None	None	None	None
3v0a	C	NA	0	A	protein	NA	bont/a	TOXIN	12/07/11	2.7 angstrom crystal structure of BoNT/Ai in complex with NTNHA	CLOSTRIDIUM BOTULINUM; LAMA GLAMA	lama glama		clostridium botulinum	Gu, S., Rumpel, S., Zhou, J., Strotmeier, J., Bigalke, H., Perry, K., Shoemaker, C.B., Rummel, A., Jin, R.	2.703	X-RAY DIFFRACTION	0.224	0.176	False	True	IGHV1	NA	NA	None	None	None	None	None
4w6x	B	NA	0	A	protein	NA	f18 fimbrial adhesin ac	CELL ADHESION	08/21/14	Co-complex structure of the lectin domain of F18 fimbrial adhesin FedF with inhibitory nanobody NbFedF7	ESCHERICHIA COLI; LAMA GLAMA	lama glama		escherichia coli	Moonens, K., De Kerpel, M., Coddens, A., Cox, E., Pardon, E., Remaut, H., De Greve, H.	1.88	X-RAY DIFFRACTION	0.226	0.186	False	True	IGHV1	NA	NA	None	None	None	None	None
7nx0	D	NA	0	C	protein	NA	leukocyte tyrosine kinase receptor	PROTEIN BINDING	03/17/21	Extracellular TG and EGF-like domains of ALK	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens	De Munck, S., Savvides, S.N.	1.95	X-RAY DIFFRACTION	0.196	0.169	False	True	IGHV1	NA	NA	None	None	None	None	None
7nx0	E	NA	0	B	protein	NA	leukocyte tyrosine kinase receptor	PROTEIN BINDING	03/17/21	Extracellular TG and EGF-like domains of ALK	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens	De Munck, S., Savvides, S.N.	1.95	X-RAY DIFFRACTION	0.196	0.169	False	True	IGHV1	NA	NA	None	None	None	None	None
1yc7	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/22/04	cAbAn33 VHH fragment against VSG	CAMELUS DROMEDARIUS	camelus dromedarius			Conrath, K., Vincke, C., Stijlemans, B., Schymkowitz, J., Wyns, L., Muyldermans, S., Loris, R.	1.6	X-RAY DIFFRACTION	0.212	0.192	False	True	IGHV1	NA	NA	None	None	None	None	None
1yc7	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/22/04	cAbAn33 VHH fragment against VSG	CAMELUS DROMEDARIUS	camelus dromedarius			Conrath, K., Vincke, C., Stijlemans, B., Schymkowitz, J., Wyns, L., Muyldermans, S., Loris, R.	1.6	X-RAY DIFFRACTION	0.212	0.192	False	True	IGHV1	NA	NA	None	None	None	None	None
5lmw	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/01/16	Llama nanobody PorM_02	LAMA GLAMA	lama glama			Roche, J., Gaubert, A., Leone, P., Roussel, A.	1.5	X-RAY DIFFRACTION	0.196	0.188	False	True	IGHV1	NA	NA	None	None	None	None	None
7om5	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/21/21	Anti-EGFR nanobody EgB4	LAMA GLAMA	lama glama			Zeronian, M.R., Janssen, B.J.C.	1.48	X-RAY DIFFRACTION	0.205	0.177	False	True	IGHV1	NA	NA	None	None	None	None	None
7om5	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/21/21	Anti-EGFR nanobody EgB4	LAMA GLAMA	lama glama			Zeronian, M.R., Janssen, B.J.C.	1.48	X-RAY DIFFRACTION	0.205	0.177	False	True	IGHV1	NA	NA	None	None	None	None	None
6gjs	C	NA	0	A	protein	NA	cystic fibrosis transmembrane conductance regulator	IMMUNE SYSTEM	05/16/18	Human NBD1 of CFTR in complex with nanobodies D12 and T4	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens	Sigoillot, M., Overtus, M., Grodecka, M., Scholl, D., Garcia-Pino, A., Laeremans, T., He, L., Pardon, E., Hildebrandt, E., Urbatsch, I., Steyaert, J., Riordan, J.R., Govaerts, C.	1.95	X-RAY DIFFRACTION	0.212	0.177	False	True	IGHV1	NA	NA	None	None	None	None	None
6gjs	B	NA	0	A	protein	NA	cystic fibrosis transmembrane conductance regulator	IMMUNE SYSTEM	05/16/18	Human NBD1 of CFTR in complex with nanobodies D12 and T4	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens	Sigoillot, M., Overtus, M., Grodecka, M., Scholl, D., Garcia-Pino, A., Laeremans, T., He, L., Pardon, E., Hildebrandt, E., Urbatsch, I., Steyaert, J., Riordan, J.R., Govaerts, C.	1.95	X-RAY DIFFRACTION	0.212	0.177	False	True	IGHV1	NA	NA	None	None	None	None	None
4ocl	F	NA	0	E | D	protein | protein	NA | NA	26s proteasome regulatory subunit rpn11 | 26s proteasome regulatory subunit rpn8	HYDROLASE, PROTEIN BINDING	01/09/14	Crystal Structure of the Rpn8-Rpn11 MPN domain heterodimer, crystal form Ia	SACCHAROMYCES CEREVISIAE; LAMA GLAMA	lama glama		saccharomyces cerevisiae | saccharomyces cerevisiae	Pathare, G.R., Bracher, A.	2.4	X-RAY DIFFRACTION	0.252	0.195	False	True	IGHV1	NA	NA	None	None	None	None	None
4ocl	C	NA	0	B | A	protein | protein	NA | NA	26s proteasome regulatory subunit rpn11 | 26s proteasome regulatory subunit rpn8	HYDROLASE, PROTEIN BINDING	01/09/14	Crystal Structure of the Rpn8-Rpn11 MPN domain heterodimer, crystal form Ia	SACCHAROMYCES CEREVISIAE; LAMA GLAMA	lama glama		saccharomyces cerevisiae | saccharomyces cerevisiae	Pathare, G.R., Bracher, A.	2.4	X-RAY DIFFRACTION	0.252	0.195	False	True	IGHV1	NA	NA	None	None	None	None	None
7nkt	B	NA	0	A	protein	NA	unknown	VIRAL PROTEIN	02/18/21	RBD domain of SARS-CoV2 in complex with neutralizing nanobody NM1226	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS				Ostertag, E., Zocher, G., Stehle, T.	2.3	X-RAY DIFFRACTION	0.224	0.184	False	False	IGHV1	NA	NA	None	None	None	None	None
3zkq	D	NA	0	A	protein	NA	beta-secretase 2	HYDROLASE/IMMUNE SYSTEM	01/24/13	BACE2 XAPERONE COMPLEX	LAMA GLAMA; HOMO SAPIENS	lama glama		homo sapiens	Banner, D.W., Kuglstatter, A., Benz, J., Stihle, M., Ruf, A.	1.51	X-RAY DIFFRACTION	0.22276	0.18966	False	True	IGHV3	NA	NA	None	None	None	None	None
6gzp	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/04/18	Llama nanobody PorM_02 structure determined at room temperature by in-situ diffraction	LAMA GLAMA	lama glama			Roche, J., Gaubert, A., Desmyter, A., De Wijn, R., Sauter, C., Roussel, A.	2.1	X-RAY DIFFRACTION	0.211	0.169	False	True	IGHV1	NA	NA	None	None	None	None	None
4w81	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/22/14	Periplasmically Produced Monomeric Single Domain Antibody (sdAb) C22A/C99V variant against Staphylococcal enterotoxin B (SEB) at pH 8.0	LAMA GLAMA	lama glama			George, J., Legler, P.M.	2.25	X-RAY DIFFRACTION	0.233	0.193	False	True	IGHV1	NA	NA	None	None	None	None	None
7n4n	D	NA	0	A	protein	NA	beta-secretase 2	HYDROLASE/INHIBITOR	06/04/21	BACE-2 in complex with ligand 36	HOMO SAPIENS	homo sapiens		homo sapiens	Shaffer, P.L.	1.41	X-RAY DIFFRACTION	0.207	0.163	False	True	IGHV3	NA	NA	None	None	None	None	None
5vaq	B	NA	0	A	protein	NA	beta-klotho	SIGNALING PROTEIN	03/27/17	Crystal Structure of Beta-Klotho in Complex with FGF21CT	HOMO SAPIENS; LAMA GLAMA; SYNTHETIC CONSTRUCT	lama glama		homo sapiens	Lee, S., Schlessinger, J.	2.606	X-RAY DIFFRACTION	0.229	0.191	False	True	IGHV1	NA	NA	None	None	None	None	None
6jb8	A	NA	0	B	protein	NA	lysozyme c	IMMUNE SYSTEM/HYDROLASE	01/25/19	Crystal structure of nanobody D3-L11 in complex with hen egg-white lysozyme	CAMELUS DROMEDARIUS; GALLUS GALLUS	camelus dromedarius		gallus gallus	Caaveiro, J.M.M., Tamura, H., Akiba, H., Tsumoto, K.	1.65	X-RAY DIFFRACTION	0.207	0.169	False	True	IGHV1	NA	NA	None	None	None	None	None
7r9d	N	NA	0	NA	NA	NA	NA	PROTEIN BINDING	06/29/21	Crystal structure of Nb_0 in complex with Fab_8D3	MUS MUSCULUS; VICUGNA PACOS	vicugna pacos			Wu, X.D., Rapoport, T.A.	1.83	X-RAY DIFFRACTION	0.211	0.180	False	True	IGHV1	NA	NA	None	None	None	None	None
7r9d	H	L	0	NA	NA	NA	NA	PROTEIN BINDING	06/29/21	Crystal structure of Nb_0 in complex with Fab_8D3	MUS MUSCULUS; VICUGNA PACOS	mus musculus	mus musculus		Wu, X.D., Rapoport, T.A.	1.83	X-RAY DIFFRACTION	0.211	0.180	False	True	IGHV5	IGKV8	Kappa	None	None	None	None	None
7fat	B	NA	0	A	protein	NA	spike protein s1	STRUCTURAL PROTEIN	07/07/21	Structure Determination of the RBD-NB1A7	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; CAMELUS BACTRIANUS	camelus bactrianus		severe acute respiratory syndrome coronavirus2 	Geng, Y., Shi, Z.Z., Li, X.Y., Wang, L., Sun, Z.C., Zhang, H.W., Chen, X.C.	1.99	X-RAY DIFFRACTION	0.242	0.193	False	True	IGHV1	NA	NA	None	None	None	None	None
2p49	B	NA	0	A	protein	NA	ribonuclease pancreatic	HYDROLASE/IMMUNE SYSTEM	03/11/07	Complex of a camelid single-domain vhh antibody fragment with RNASE A at 1.4A resolution: native mono_1 crystal form	CAMELUS DROMEDARIUS; BOS TAURUS	camelus dromedarius		bos taurus	Tereshko, V., Uysal, S., Margalef, K., Koide, A., Kossiakoff, A.A., Koide, S.	1.38	X-RAY DIFFRACTION	0.185	0.156	False	True	IGHV1	NA	NA	2.30E-08	-10.59	Other	30	17888451
4laj	M	NA	0	F | G	protein | peptide	NA | NA	hiv-1 yu2 gp120 envelope glycoprotein | cd4-mimetic miniprotein m48u1	VIRAL PROTEIN/INHIBITOR	06/20/13	Crystal structure of HIV-1 YU2 envelope gp120 glycoprotein in complex with CD4-mimetic miniprotein, M48U1, and llama single-domain, broadly neutralizing, co-receptor binding site antibody, JM4	HUMAN IMMUNODEFICIENCY VIRUS 1; LLAMA GLAMA; SYNTHETIC CONSTRUCT	lama glama		human immunodeficiency virus 1 | 	Acharya, P., Luongo, T.S., Kwong, P.D.	2.14	X-RAY DIFFRACTION	0.227	0.185	False	True	IGHV1	NA	NA	None	None	None	None	None
4laj	I	NA	0	B | C	protein | peptide	NA | NA	hiv-1 yu2 gp120 envelope glycoprotein | cd4-mimetic miniprotein m48u1	VIRAL PROTEIN/INHIBITOR	06/20/13	Crystal structure of HIV-1 YU2 envelope gp120 glycoprotein in complex with CD4-mimetic miniprotein, M48U1, and llama single-domain, broadly neutralizing, co-receptor binding site antibody, JM4	HUMAN IMMUNODEFICIENCY VIRUS 1; LLAMA GLAMA; SYNTHETIC CONSTRUCT	lama glama		human immunodeficiency virus 1 | 	Acharya, P., Luongo, T.S., Kwong, P.D.	2.14	X-RAY DIFFRACTION	0.227	0.185	False	True	IGHV1	NA	NA	None	None	None	None	None
4laj	H	NA	0	J | K	protein | peptide	NA | NA	hiv-1 yu2 gp120 envelope glycoprotein | cd4-mimetic miniprotein m48u1	VIRAL PROTEIN/INHIBITOR	06/20/13	Crystal structure of HIV-1 YU2 envelope gp120 glycoprotein in complex with CD4-mimetic miniprotein, M48U1, and llama single-domain, broadly neutralizing, co-receptor binding site antibody, JM4	HUMAN IMMUNODEFICIENCY VIRUS 1; LLAMA GLAMA; SYNTHETIC CONSTRUCT	lama glama		human immunodeficiency virus 1 | 	Acharya, P., Luongo, T.S., Kwong, P.D.	2.14	X-RAY DIFFRACTION	0.227	0.185	False	True	IGHV1	NA	NA	None	None	None	None	None
4laj	L	NA	0	A | D	protein | peptide	NA | NA	hiv-1 yu2 gp120 envelope glycoprotein | cd4-mimetic miniprotein m48u1	VIRAL PROTEIN/INHIBITOR	06/20/13	Crystal structure of HIV-1 YU2 envelope gp120 glycoprotein in complex with CD4-mimetic miniprotein, M48U1, and llama single-domain, broadly neutralizing, co-receptor binding site antibody, JM4	HUMAN IMMUNODEFICIENCY VIRUS 1; LLAMA GLAMA; SYNTHETIC CONSTRUCT	lama glama		human immunodeficiency virus 1 | 	Acharya, P., Luongo, T.S., Kwong, P.D.	2.14	X-RAY DIFFRACTION	0.227	0.185	False	True	IGHV1	NA	NA	None	None	None	None	None
7f5g	B	NA	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	06/22/21	The crystal structure of RBD-Nanobody complex, DL4 (SA4)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Li, T., Lai, Y., Zhou, Y., Tan, J., Li, D.	1.75	X-RAY DIFFRACTION	0.217	0.188	False	True	IGHV1	NA	NA	None	None	None	None	None
7f5g	D	NA	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	06/22/21	The crystal structure of RBD-Nanobody complex, DL4 (SA4)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Li, T., Lai, Y., Zhou, Y., Tan, J., Li, D.	1.75	X-RAY DIFFRACTION	0.217	0.188	False	True	IGHV1	NA	NA	None	None	None	None	None
6xyf	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/30/20	Nanobody 22	LAMA GLAMA	lama glama			Pompidor, G., Zimmermann, S., Loew, C., Schneider, T.	1.11097	X-RAY DIFFRACTION	0.153	0.125	False	True	IGHV1	NA	NA	None	None	None	None	None
7d2z	A	NA	0	B	protein	NA	spike protein s1	PROTEIN BINDING	09/17/20	Structure of sybody SR31 in complex with the SARS-CoV-2 S Receptor Binding domain (RBD)	SYNTHETIC CONSTRUCT; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	synthetic construct		severe acute respiratory syndrome coronavirus2 	Li, T., Cai, H., Yao, H., Qin, W., Li, D.	1.97	X-RAY DIFFRACTION	0.207	0.182	False	True	IGHV1	NA	NA	None	None	None	None	None
4i1n	B	NA	0	A	protein	NA	dihydrofolate reductase	OXIDOREDUCTASE/IMMUNE SYSTEM	11/21/12	R104A-ca1697 nanobody binding to the binary DHFR.folate complex	LAMA GLAMA; ESCHERICHIA COLI	lama glama		escherichia coli	Oyen, D., Steyaert, J., Barlow, J.N.	1.888	X-RAY DIFFRACTION	0.214	0.177	False	True	IGHV1	NA	NA	None	None	None	None	None
4hep	G	NA	0	A	protein	NA	bpp	VIRAL PROTEIN	10/04/12	Complex of lactococcal phage TP901-1 with a llama vHH (vHH17) binder (nanobody)	LACTOCOCCUS PHAGE TP901-1; LAMA GLAMA	lama glama		lactococcus phage tp901-1	Desmyter, A., Spinelli, S., Farenc, C., Blangy, S., Bebeacua, C., van Sinderen, D., Mahony, J., Cambillau, C.	1.75	X-RAY DIFFRACTION	0.204	0.198	False	True	IGHV1	NA	NA	None	None	None	None	None
4c57	C	NA	0	A	protein	NA	cyclin-g-associated kinase	TRANSFERASE	09/10/13	Structure of GAK kinase in complex with a nanobody	HOMO SAPIENS; SYNTHETIC CONSTRUCT	lama glama		homo sapiens	Chaikuad, A., Keates, T., Krojer, T., Allerston, C.K., von Delft, F., Arrowsmith, C.H., Edwards, A.M., Bountra, C., Knapp, S., Muller-Knapp, S.	2.55	X-RAY DIFFRACTION	0.2281	0.1776	False	False	IGHV3	NA	NA	None	None	None
4c57	D	NA	0	B	protein	NA	cyclin-g-associated kinase	TRANSFERASE	09/10/13	Structure of GAK kinase in complex with a nanobody	HOMO SAPIENS; SYNTHETIC CONSTRUCT	lama glama		homo sapiens	Chaikuad, A., Keates, T., Krojer, T., Allerston, C.K., von Delft, F., Arrowsmith, C.H., Edwards, A.M., Bountra, C., Knapp, S., Muller-Knapp, S.	2.55	X-RAY DIFFRACTION	0.2281	0.1776	False	False	IGHV3	NA	NA	None	None	None
4nbx	B	NA	0	A	protein	NA	tcda	IMMUNE SYSTEM	10/23/13	Crystal Structure of Clostridium difficile Toxin A fragment TcdA-A1 Bound to A20.1 VHH	CLOSTRIDIUM DIFFICILE; LAMA GLAMA	lama glama		clostridium difficile	Murase, T., Eugenio, L., Schorr, M., Hussack, G., Tanha, J., Kitova, E.N., Klassen, J.S., Ng, K.K.S.	1.75	X-RAY DIFFRACTION	0.229	0.195	False	True	IGHV1	NA	NA	None	None	None	None	None
6ir2	B	NA	0	A	protein	NA	mcherry fluorescent protein	FLUORESCENT PROTEIN	11/09/18	Crystal structure of red fluorescent protein mCherry complexed with the nanobody LaM2 at 1.4 Angstron resolution	ANAPLASMA MARGINALE; CAMELUS BACTRIANUS	camelus bactrianus		anaplasma marginale	Ding, Y., Wang, Z.Y., Hu, R.T., Chen, X.	1.393	X-RAY DIFFRACTION	0.216	0.195	False	True	IGHV1	NA	NA	None	None	None	None	None
6zbp	F	NA	0	E	protein	NA	unknown	ANTIVIRAL PROTEIN	06/08/20	H11-H4 complex with SARS-CoV-2	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA				Naismith, J.H., Huo, J., Mikolajek, H., Ward, P., Dumoux, M., Owens, R.J., LeBas, A.	1.85	X-RAY DIFFRACTION	0.217	0.185	False	False	IGHV1	NA	NA	None	None	None	None	None
7nfq	D	NA	0	B	protein	NA	polymerase basic protein 2	VIRAL PROTEIN	02/07/21	Fujian capmidlink domain in complex with Nb8193	INFLUENZA A VIRUS (A/DUCK/FUJIAN/13/2002(H5N1)); CAMELIDAE MIXED LIBRARY	camelidae mixed library		influenza a virus (a/duck/fujian/13/2002(h5n1)) 	Keown, J.R., Grimes, J.M., Fodor, E.	1.68	X-RAY DIFFRACTION	0.205	0.167	False	True	IGHV3	NA	NA	None	None	None	None	None
7nfq	C	NA	0	A	protein	NA	polymerase basic protein 2	VIRAL PROTEIN	02/07/21	Fujian capmidlink domain in complex with Nb8193	INFLUENZA A VIRUS (A/DUCK/FUJIAN/13/2002(H5N1)); CAMELIDAE MIXED LIBRARY	camelidae mixed library		influenza a virus (a/duck/fujian/13/2002(h5n1)) 	Keown, J.R., Grimes, J.M., Fodor, E.	1.68	X-RAY DIFFRACTION	0.205	0.167	False	True	IGHV3	NA	NA	None	None	None	None	None
7kc9	F	NA	0	E | D	protein | protein	NA | NA	ricin chain b | ricin chain a	TOXIN	10/05/20	Ricin bound to VHH antibody V5G1	VICUGNA PACOS; RICINUS COMMUNIS	vicugna pacos		ricinus communis | ricinus communis	Rudolph, M.J.	2.301	X-RAY DIFFRACTION	0.238	0.187	False	True	IGHV1	NA	NA	None	None	None	None	None
7kc9	C	NA	0	B | A	protein | protein	NA | NA	ricin chain b | ricin chain a	TOXIN	10/05/20	Ricin bound to VHH antibody V5G1	VICUGNA PACOS; RICINUS COMMUNIS	vicugna pacos		ricinus communis | ricinus communis	Rudolph, M.J.	2.301	X-RAY DIFFRACTION	0.238	0.187	False	True	IGHV1	NA	NA	None	None	None	None	None
5hvf	B	NA	0	A	protein	NA	carboxypeptidase b2	hydrolase/hydrolase inhibitor	01/28/16	Crystal Structure of Thrombin-activatable Fibrinolysis Inhibitor in Complex with an Inhibitory Nanobody (VHH-i83)	HOMO SAPIENS; VICUGNA PACOS	vicugna pacos		homo sapiens	Zhou, X., Weeks, S.D., Strelkov, S.V., Declerck, P.J.	2.85	X-RAY DIFFRACTION	0.230	0.192	False	True	IGHV3	NA	NA	None	None	None	None	None
5ivn	A	NA	0	B	peptide	NA	cadherin derived peptide	PEPTIDE BINDING PROTEIN	03/21/16	BC2 nanobody in complex with the BC2 peptide tag	VICUGNA PACOS; SYNTHETIC CONSTRUCT	vicugna pacos		homo sapiens	Braun, M.B., Stehle, T.	1.0	X-RAY DIFFRACTION	0.150	0.128	False	True	IGHV1	NA	NA	None	None	None	None	None
2p45	B	NA	0	A	protein	NA	ribonuclease pancreatic	HYDROLASE/IMMUNE SYSTEM	03/11/07	Complex of a camelid single-domain vhh antibody fragment with RNASE A at 1.1A resolution: SE5B-ORTHO-1 crystal form with five se-met sites (L4M, M34, M51, F68M, M83) in vhh scaffold.	CAMELUS DROMEDARIUS; BOS TAURUS	camelus dromedarius		bos taurus	Tereshko, V., Uysal, S., Koide, A., Margalef, K., Koide, S., Kossiakoff, A.A.	1.1	X-RAY DIFFRACTION	0.195	0.173	False	True	IGHV1	NA	NA	1.16E-07	-9.61	Other	30	18445622
4ppt	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/27/14	Engineered Dual Specific VHH Antibody in Complex with a Nickel (II) Ion	ESCHERICHIA COLI				Fanning, S.W., Walter, R., Horn, J.R.	1.5	X-RAY DIFFRACTION	0.224	0.192	False	True	IGHV1	NA	NA	None	None	None	None	None
7eow	B	NA	0	A	protein	NA	von willebrand factor	STRUCTURAL PROTEIN	04/23/21	High-resolution structure of vWF A1 domain in complex with caplacizumab, the first nanobody-based medicine	HOMO SAPIENS	homo sapiens		homo sapiens	Lee, H.T., Heo, Y.-S.	1.6	X-RAY DIFFRACTION	0.198	0.175	False	True	IGHV3	NA	NA	None	None	None	None	None
6uht	D	NA	0	B	protein	NA	botulinum neurotoxin type b	TOXIN/ANTITOXIN	09/28/19	Crystal structure of BoNT/B receptor-binding domain in complex with VHH JLI-G10	CLOSTRIDIUM BOTULINUM; VICUGNA PACOS	vicugna pacos		clostridium botulinum	Lam, K., Jin, R.	2.20001	X-RAY DIFFRACTION	0.211	0.194	False	True	IGHV1	NA	NA	None	None	None	None	None
6uht	C	NA	0	A	protein	NA	botulinum neurotoxin type b	TOXIN/ANTITOXIN	09/28/19	Crystal structure of BoNT/B receptor-binding domain in complex with VHH JLI-G10	CLOSTRIDIUM BOTULINUM; VICUGNA PACOS	vicugna pacos		clostridium botulinum	Lam, K., Jin, R.	2.20001	X-RAY DIFFRACTION	0.211	0.194	False	True	IGHV1	NA	NA	None	None	None	None	None
6xux	A	NA	0	NA	NA	NA	NA	STRUCTURAL PROTEIN	01/21/20	Crystal structure of Megabody Mb-Nb207-cYgjK_NO	ESCHERICHIA COLI K-12	escherichia coli k-12			Steyaert, J., Uchanski, T., Fischer, B.	1.90001	X-RAY DIFFRACTION	0.230	0.189	False	True	IGHV1	NA	NA	None	None	None	None	None
1ri8	A	NA	0	B	protein	NA	lysozyme c	IMMUNE SYSTEM/HYDROLASE	11/17/03	Crystal Structure of the Camelid Single Domain Antibody 1D2L19 in complex with Hen Egg White Lysozyme	CAMELUS DROMEDARIUS; GALLUS GALLUS	camelus dromedarius		gallus gallus	De Genst, E., Silence, K., Ghahroudi, M.A., Decanniere, K., Loris, R., Kinne, J., Wyns, L., Muyldermans, S.	1.85	X-RAY DIFFRACTION	0.196	0.173	False	True	IGHV1	NA	NA	2.90E-09	-11.64	SPR	NA	15659390
7a0v	D	NA	0	C	protein	NA	synaptojanin-1	HYDROLASE	08/11/20	Crystal structure of the 5-phosphatase domain of Synaptojanin1 in complex with a nanobody	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens	Paesmans, J., Galicia, C., Martin, E., Versees, W.	2.3	X-RAY DIFFRACTION	0.252	0.196	False	True	IGHV1	NA	NA	None	None	None	None	None
7a0v	B	NA	0	A	protein	NA	synaptojanin-1	HYDROLASE	08/11/20	Crystal structure of the 5-phosphatase domain of Synaptojanin1 in complex with a nanobody	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens	Paesmans, J., Galicia, C., Martin, E., Versees, W.	2.3	X-RAY DIFFRACTION	0.252	0.196	False	True	IGHV1	NA	NA	None	None	None	None	None
7a0v	F	NA	0	E	protein	NA	synaptojanin-1	HYDROLASE	08/11/20	Crystal structure of the 5-phosphatase domain of Synaptojanin1 in complex with a nanobody	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens	Paesmans, J., Galicia, C., Martin, E., Versees, W.	2.3	X-RAY DIFFRACTION	0.252	0.196	False	True	IGHV1	NA	NA	None	None	None	None	None
6s0y	A	NA	0	C	peptide	NA	matrix protein 2	ANTIVIRAL PROTEIN	06/18/19	Nanobody targeting influenza A matrix protein 2 ectodomain (M2e)	LAMA GLAMA; SYNTHETIC CONSTRUCT	lama glama		influenza a virus (a/jeju/2279/2007(h1n1))	Van Molle, I., De Vlieger, D., Schepens, B., Remaut, H., Saelens, X.	1.81	X-RAY DIFFRACTION	0.225	0.187	False	True	IGHV1	NA	NA	None	None	None	None	None
6s0y	B	NA	0	D	peptide	NA	matrix protein 2	ANTIVIRAL PROTEIN	06/18/19	Nanobody targeting influenza A matrix protein 2 ectodomain (M2e)	LAMA GLAMA; SYNTHETIC CONSTRUCT	lama glama		influenza a virus (a/jeju/2279/2007(h1n1))	Van Molle, I., De Vlieger, D., Schepens, B., Remaut, H., Saelens, X.	1.81	X-RAY DIFFRACTION	0.225	0.187	False	True	IGHV1	NA	NA	None	None	None	None	None
5fhx	H	NA	0	A	protein	NA	interleukin-4	IMMUNE SYSTEM	12/22/15	CRYSTAL STRUCTURE OF CODV IN COMPLEX WITH IL4 AT 2.55 Ang. RESOLUTION.	HOMO SAPIENS	homo sapiens		homo sapiens	Vallee, F., Dupuy, A., Rak, A.	2.55	X-RAY DIFFRACTION	0.249	0.184	False	True	IGHV2	NA	NA	None	None	None	None	None
5fhx	NA	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/22/15	CRYSTAL STRUCTURE OF CODV IN COMPLEX WITH IL4 AT 2.55 Ang. RESOLUTION.	HOMO SAPIENS		homo sapiens		Vallee, F., Dupuy, A., Rak, A.	2.55	X-RAY DIFFRACTION	0.249	0.184	False	True	NA	IGKV11	Kappa	None	None	None	None	None
7a50	C	NA	0	D	peptide	NA	coiled-coil aph	DE NOVO PROTEIN	08/20/20	Crystal structure of the APH coiled-coil in complex with nanobody Nb26	LAMA GLAMA; SYNTHETIC CONSTRUCT	lama glama		synthetic construct	Hadzi, S.	1.999	X-RAY DIFFRACTION	0.226	0.182	False	True	IGHV1	NA	NA	None	None	None	None	None
7a50	A	NA	0	B	peptide	NA	coiled-coil aph	DE NOVO PROTEIN	08/20/20	Crystal structure of the APH coiled-coil in complex with nanobody Nb26	LAMA GLAMA; SYNTHETIC CONSTRUCT	lama glama		synthetic construct	Hadzi, S.	1.999	X-RAY DIFFRACTION	0.226	0.182	False	True	IGHV1	NA	NA	None	None	None	None	None
4eig	B	NA	0	A	protein	NA	dihydrofolate reductase	OXIDOREDUCTASE/IMMUNE SYSTEM	04/05/12	CA1698 camel antibody fragment in complex with DHFR	ESCHERICHIA COLI; LAMA GLAMA	lama glama		escherichia coli	Oyen, D., Srinivasan, V.	2.5	X-RAY DIFFRACTION	0.220	0.172	False	True	IGHV1	NA	NA	None	None	None	None	None
